OrganisationNo;LineDiscount;CustomerUnit;AccountManager;Municipality;County;Country;NoOfEmployees;Potential;AccessoryRatio;TargetAccessory;NSB;CPLow;Days;TargetDays;NrOfOrder;Software
9044;No;SMB Mid;Unassigned_NO;Oslo;Oslo;Dustin Norway;1,3;8905;0,789794;No;46204,12;0,212086498;5;5;18;Yes
9045;No;SMB Small;Unassigned_DK;Holbæk;Sjælland;Dustin Denmark;68;522240;0,17449;No;71208,7;0,110354072;294;9999;8;No
9046;No;SMB Mid;Mid - Segmentet;Umeå;Västerbotten;Dustin Sweden;6,5;76245;0,066008;No;12771;0,055142902;344;9999;2;No
9047;No;SMB Mid;Unassigned_DK;Aabenraa;Syddanmark;Dustin Denmark;30;327600;0,766121;No;59396,17;0,094414337;21;9999;13;No
9048;No;SMB Small;Unassigned_SE;Partille;Västra Götaland;Dustin Sweden;1,8;19602;0,353303;No;18010;0,214515825;267;9999;5;No
9049;No;SMB Small;Unassigned_SE;Knivsta;Uppsala;Dustin Sweden;13,4;118858;0,356911;No;34510;0,167082295;270;585;4;Yes
9050;No;SMB Small;Unassigned_SE;Solna;Stockholm;Dustin Sweden;1,8;7237,8;0;No;3839;0,076342798;49;9999;1;No
9051;No;SMB Small;Unassigned_DK;Hørsholm;Hovedstaden;Dustin Denmark;-1;16653;0;No;1173,52;0,248534324;285;9999;1;No
9052;No;SMB Mid;Mid - Segmentet;Ånge;Västernorrland;Dustin Sweden;30;313800;0,267988;No;117993,89;0,129295254;11;9999;43;No
9053;No;SMB Small;Unassigned_SE;Örebro;Örebro;Dustin Sweden;1,3;0;0,599318;No;4989;0,209083985;701;9999;1;No
9054;No;SMB Small;Unassigned_SE;Hudiksvall;Gävleborg;Dustin Sweden;1,8;0;1;No;959;0,125766423;665;9999;1;No
9055;No;SMB Small;Unassigned_NO;Lierne;Nord-Trøndelag;Dustin Norway;6,5;0;0,029336;No;5042,18;0,046775403;637;9999;1;No
9056;No;SMB Small;Unassigned_SE;Sundbyberg;Stockholm;Dustin Sweden;1,8;15102;0,689166;No;44932,93;0,168046909;41;9999;7;No
9057;No;SMB Small;Unassigned_SE;Ekerö;Stockholm;Dustin Sweden;1,3;7200,7;0,083042;No;39341,2;0,130625909;79;9999;7;No
9058;No;SMB Small;Unassigned_DK;Århus;Midtjylland;Dustin Denmark;6,5;62335;0;No;6254,02;0,091846524;41;9999;1;No
9059;No;SMB Small;Unassigned_SE;Gagnef;Dalarna;Dustin Sweden;6,5;67405;0,090128;No;16631,81;0,128002304;120;9999;4;No
9060;Yes;SMB Large;Ole Petter Eriksen;Oslo;Oslo;Dustin Norway;13,4;0;0,893973;No;860,26;0,249064236;567;9999;6;No
9061;No;SMB Small;Unassigned_NO;Kristiansund;Møre og Romsdal;Dustin Norway;13,4;298552;0,115502;No;77359,14;0,087183234;64;9999;10;No
9062;No;SMB Small;Unassigned_DK;Gentofte;Hovedstaden;Dustin Denmark;1,3;5905,9;0,572871;No;5878,47;0,199369904;313;9999;4;No
9063;No;SMB Small;Unassigned_DK;Aalborg;Nordjylland;Dustin Denmark;-1;16653;0,090632;No;3711,57;0,117249574;62;9999;1;No
9064;No;SMB Mid;Unassigned_DK;Århus;Midtjylland;Dustin Denmark;30;384300;0,164906;No;379789,52;0,082656336;5;698;52;Yes
9065;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;0;0,017687;No;70331;0,082121397;412;9999;4;No
9066;No;SMB Small;Unassigned_SE;Gävle;Gävleborg;Dustin Sweden;1,8;18036;0,374293;No;2124;0,100795669;215;9999;1;No
9067;No;SMB Mid;Unassigned_DK;København;Hovedstaden;Dustin Denmark;2298,9;24208512;1;No;972,33;0,173881295;351;9999;1;No
9068;No;SMB Mid;Mid - Segmentet;Vara;Västra Götaland;Dustin Sweden;31,8;266802;0,276971;No;125296,03;0,173277477;12;9999;39;No
9069;No;SMB Small;Unassigned_SE;Norrköping;Östergötland;Dustin Sweden;1,8;8222,4;0,548212;No;19924,77;0,154482586;126;126;1;Yes
9070;No;Home;Unassigned_SE;Not Defined;Not Defined;Dustin Sweden;1;0;0;No;6121,2;0,068509443;224;9999;1;No
9071;No;SMB Small;Unassigned_SE;Gävle;Gävleborg;Dustin Sweden;6,5;143390;0,466492;No;51237,68;0,151628645;11;9999;9;No
9072;No;SMB Small;Unassigned_SE;Solna;Stockholm;Dustin Sweden;1,3;0;0,129976;No;9194;0,10601588;715;9999;1;No
9073;Yes;Corporate;Niklas Camén;Solna;Stockholm;Dustin Sweden;-1;0;0,815996;No;36230,09;0,146675871;222;9999;13;No
9074;Yes;Public;Kristian Denning Rasmussen;Odense;Syddanmark;Dustin Denmark;98;768740;0,25366;No;35946,38;0,123895925;126;9999;9;No
9075;No;SMB Mid;Mid - Segmentet;Helsingborg;Skåne;Dustin Sweden;68;797640;0,224855;No;189018,59;0,114976733;68;1026;26;Yes
9076;No;SMB Mid;Unassigned_DK;Thisted;Nordjylland;Dustin Denmark;158,3;1530564;0,490642;No;167270,94;0,085750221;33;9999;15;No
9077;No;SMB Small;Unassigned_NO;Oslo;Oslo;Dustin Norway;1,3;0;0,012421;No;9475,32;0,125321361;614;9999;2;No
9078;No;SMB Small;Unassigned_SE;Halmstad;Halland;Dustin Sweden;1,3;0;0,22039;No;10132;0,08371891;662;9999;1;No
9079;No;SMB Small;Unassigned_SE;Huddinge;Stockholm;Dustin Sweden;13,4;0;1;No;645;0,44675969;386;9999;1;No
9080;No;SMB Small;Unassigned_DK;Fanø;Syddanmark;Dustin Denmark;1,3;16653;0;No;36516,39;0,080010647;89;9999;5;No
9081;No;SMB Small;Unassigned_SE;Sandviken;Gävleborg;Dustin Sweden;6,5;58435;0,308178;No;27695,02;0,115838515;8;9999;10;No
9082;No;SMB Small;Unassigned_SE;Partille;Västra Götaland;Dustin Sweden;1,8;21114;0;No;2099;0,108623154;182;9999;1;No
9083;No;SMB Small;Unassigned_NO;Trondheim;Sør-Trøndelag;Dustin Norway;1,3;15964;0;No;7247,73;0,084411257;215;9999;1;No
9084;Yes;SMB Large;Brian Toft Simonsen;Faaborg-Midtfyn;Syddanmark;Dustin Denmark;30;230400;0;No;13753,45;0,110998331;74;9999;1;No
9085;No;SMB Small;Unassigned_NO;Larvik;Vestfold;Dustin Norway;3,6;26748;0,644168;No;16725,42;0,196534377;54;9999;5;No
9086;Yes;SMB Small;Unassigned_SE;Avesta;Dalarna;Dustin Sweden;1,8;19602;0,18257;No;2117,7;0,192241583;334;334;1;Yes
9087;No;SMB Small;Unassigned_SE;Vaggeryd;Jönköping;Dustin Sweden;1,8;0;0;No;15912,6;0,060119025;391;9999;1;No
9088;Yes;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;-1;0;1;No;1599;0,05808005;700;9999;1;No
9089;No;SMB Small;Niklas Arklöv;Olofström;Blekinge;Dustin Sweden;6,5;76245;0,157637;No;18111,12;0,071331867;305;503;2;Yes
9090;No;SMB Mid;Mid - Segmentet;Stockholm;Stockholm;Dustin Sweden;137;3022220;0,402714;No;128620;0,190997745;22;9999;27;No
9091;No;SMB Mid;Mid LRLF;Kungsbacka;Halland;Dustin Sweden;26,4;208560;0,057962;No;40785,03;0,059513503;20;9999;6;No
9092;No;SMB Small;Unassigned_DK;Ballerup;Hovedstaden;Dustin Denmark;6,5;62335;0,207646;No;41906,8;0,10703776;82;9999;18;No
9093;No;SMB Mid;Mid - Segmentet;Stockholm;Stockholm;Dustin Sweden;137;625816;0,321664;No;198194,42;0,209006136;4;349;59;Yes
9094;No;SMB Small;Unassigned_SE;Säter;Dalarna;Dustin Sweden;6,5;36003,5;0,263215;No;908;0,127378855;34;9999;1;No
9095;Yes;Public;Sverre Hellem;Ullensaker;Akershus;Dustin Norway;-1;0;0,183142;No;1069750,74;0,126684736;706;9999;93;No
9096;No;SMB Small;Unassigned_DK;Køge;Sjælland;Dustin Denmark;6,5;83265;0,307437;No;295013,91;0,131507087;62;358;66;Yes
9097;No;SMB Small;Unassigned_SE;Klippan;Skåne;Dustin Sweden;1,8;12024;1;No;280;0,346464286;344;9999;1;No
9098;No;SMB Mid;Unassigned_NO;Ålesund;Møre og Romsdal;Dustin Norway;20,6;268932;0,221379;No;108196,3;0,146668601;71;9999;10;No
9099;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;0;1;No;270;0,708222222;600;9999;1;No
9100;Yes;SMB Large;Andreas Møller Rasmussen;København;Hovedstaden;Dustin Denmark;-1;0;0;No;6072,07;0,080277401;545;9999;1;No
9101;No;SMB Small;Unassigned_NO;Herøy i Møre og Romsdal;Møre og Romsdal;Dustin Norway;3,1;0;0,011206;No;14110,16;0,049129847;658;889;3;Yes
9102;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;143390;0;No;99844,32;0,255271306;95;795;5;Yes
9103;No;SMB Small;Unassigned_SE;Varberg;Halland;Dustin Sweden;1,3;8684;0,435772;No;2416,4;0,072231419;299;9999;1;No
9104;No;SMB Small;Unassigned_SE;Höör;Skåne;Dustin Sweden;-1;0;0,051819;No;5480,6;0,087267817;385;9999;1;No
9105;No;SMB Small;Unassigned_SE;Lindesberg;Örebro;Dustin Sweden;13,4;0;0,967381;No;6714;0,1332112;651;9999;1;No
9106;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;1,3;10907;0,124647;No;3193;0,252668337;63;9999;1;No
9107;No;SMB Small;Unassigned_DK;Silkeborg;Midtjylland;Dustin Denmark;1,8;24372;0,137085;No;74788,25;0,107608214;11;9999;7;No
9108;No;SMB Small;Unassigned_SE;Mölndal;Västra Götaland;Dustin Sweden;43,4;408828;0,461934;No;6988;0,281808815;166;9999;3;No
9109;No;SMB Small;Bente Grønberg Møller;Stockholm;Stockholm;Dustin Sweden;30;326700;0;No;725470;0,39226915;33;9999;1;No
9110;Yes;SMB Small;Unassigned_SE;Eskilstuna;Södermanland;Dustin Sweden;1,8;39708;0,910569;No;5579,78;0,346816541;76;9999;2;No
9111;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;0;0;No;27992;0,086891255;629;9999;4;No
9112;No;SMB Small;Unassigned_SE;Avesta;Dalarna;Dustin Sweden;1,8;16956;0,181766;No;17715;0,269260514;25;9999;7;No
9113;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;6,5;0;0;No;10999;0,056300573;512;9999;2;No
9114;No;SMB Small;Unassigned_SE;Kalmar;Kalmar;Dustin Sweden;1,8;12024;1;No;1119;0,231626452;342;9999;1;No
9115;No;SMB Small;Unassigned_NO;Bergen;Hordaland;Dustin Norway;1,3;3434,6;0;No;3880,96;0,096339565;361;9999;1;No
9116;Yes;SMB Large;Claus Hartmann;Ringkøbing-Skjern;Midtjylland;Dustin Denmark;313,5;3006465;0;No;326312,19;0,085722694;244;244;11;Yes
9117;No;SMB Small;Unassigned_DK;Lyngby-Taarbæk;Hovedstaden;Dustin Denmark;1,8;17262;0;No;3918,04;0,042003144;270;9999;1;No
9118;No;SMB Small;Unassigned_SE;Ekerö;Stockholm;Dustin Sweden;1,8;19602;0,159376;No;81906,8;0,084834959;57;9999;9;No
9119;No;SMB Small;Unassigned_NO;Steinkjer;Nord-Trøndelag;Dustin Norway;13,4;153162;0;No;1175,89;0,148432251;139;9999;1;No
9120;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;1,3;32929;0,334924;No;29379,08;0,113392591;211;9999;6;No
9121;No;SMB Mid;Mid LRLF;Torsby;Värmland;Dustin Sweden;30;351900;0,065512;No;100561,66;0,097426295;215;235;10;Yes
9122;No;SMB Small;Unassigned_SE;Nynäshamn;Stockholm;Dustin Sweden;1,3;0;0,192821;No;6166,32;0,205227753;410;9999;5;No
9123;No;SMB Small;Unassigned_DK;Frederiksværk-Hundes;Hovedstaden;Dustin Denmark;1,8;0;0,261071;No;8589,28;0,150208166;447;9999;2;No
9124;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;21114;0,698196;No;24319,8;0,129529848;53;9999;9;No
9125;No;SMB Small;Unassigned_SE;Norrköping;Östergötland;Dustin Sweden;13,4;53881,4;1;No;1999;0,22098049;242;9999;1;No
9126;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;1,8;15102;0,068514;No;10143,8;0,072144561;91;9999;3;No
9127;Yes;SMB Mid;Unassigned_NO;Halden;Østfold;Dustin Norway;68;1515040;0,360957;No;1027957,44;0,141074216;1;242;172;Yes
9128;No;SMB Small;Unassigned_SE;Eskilstuna;Södermanland;Dustin Sweden;1,8;21114;0;No;6486,4;0,062014369;133;9999;1;No
9129;No;SMB Mid;Unassigned_NO;Osterøy;Hordaland;Dustin Norway;-1;0;1;No;1059,18;0,276534678;232;9999;1;No
9130;No;SMB Small;Unassigned_SE;Nacka;Stockholm;Dustin Sweden;1,8;19602;0,201476;No;56895,06;0,089504431;90;9999;11;No
9131;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;19602;0,098865;No;26429,89;0,084606482;190;9999;4;No
9132;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;12024;0,733292;No;2277,4;0,131711601;190;9999;1;No
9133;No;SMB Small;Unassigned_DK;Gladsaxe;Hovedstaden;Dustin Denmark;6,5;0;0;No;2107,16;0,223034796;694;9999;1;No
9134;Yes;SMB Small;Unassigned_SE;Vänersborg;Västra Götaland;Dustin Sweden;1,3;13598;0,019582;No;3319,37;0,110526998;158;9999;1;No
9135;No;SMB Small;Unassigned_SE;Härryda;Västra Götaland;Dustin Sweden;15,2;165528;0,186279;No;9061,64;0,095486027;39;9999;5;No
9136;No;SMB Small;Not Defined;Helsinki;Uusimaa;Dustin Finland;1,8;4928,4;0;No;6954,61;0,090419161;237;9999;1;No
9137;No;SMB Small;Unassigned_DK;Fredensborg;Hovedstaden;Dustin Denmark;8,3;0;0,018928;No;9123,19;0,086523464;538;9999;2;No
9138;No;SMB Small;Unassigned_NO;Bergen;Hordaland;Dustin Norway;1,8;0;1;No;124,28;0,694399743;368;9999;1;No
9139;No;SMB Small;Unassigned_SE;Borås;Västra Götaland;Dustin Sweden;13,4;0;0,13849;No;46061;0,130129611;434;1006;6;Yes
9140;No;SMB Small;Unassigned_DK;Vejle;Syddanmark;Dustin Denmark;1,3;0;0;No;1151,84;0,335723712;504;9999;1;No
9141;No;SMB Small;Unassigned_DK;Assens;Syddanmark;Dustin Denmark;1,8;0;0;No;7752,51;0,099161433;489;9999;1;No
9142;No;SMB Small;Unassigned_SE;Borås;Västra Götaland;Dustin Sweden;1,8;19602;0,556859;No;3834;0,200109546;99;9999;1;No
9143;No;SMB Small;Unassigned_SE;Not Defined;Not Defined;Dustin Sweden;1;0;1;No;2245;0,259331849;22;9999;1;No
9144;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;6,5;0;0,32118;No;48384;0,092842262;516;9999;7;No
9145;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;1,8;24372;0,334223;No;6292,35;0,166694478;70;9999;5;No
9146;No;SMB Small;Unassigned_SE;Ängelholm;Skåne;Dustin Sweden;1,8;16956;0,337335;No;16598,14;0,051705794;5;9999;6;No
9147;No;SMB Small;Unassigned_SE;Uppsala;Uppsala;Dustin Sweden;30;282600;0,157169;No;58179,28;0,124050005;246;9999;9;No
9148;No;SMB Large;SMB SE Pool;Stockholm;Stockholm;Dustin Sweden;1564,8;33540582;0,112327;No;195232,1;0,109193212;43;431;14;Yes
9149;No;SMB Mid;Mid HRHF;Kävlinge;Skåne;Dustin Sweden;30;351900;0,078123;No;543580,5;0,074978996;34;9999;50;No
9150;No;SMB Small;Unassigned_NO;Bergen;Hordaland;Dustin Norway;1,8;0;0,037631;No;3625,11;0,027041938;659;9999;1;No
9151;No;SMB Small;Unassigned_SE;Lidköping;Västra Götaland;Dustin Sweden;13,4;295604;0,269227;No;25146;0,120492325;62;9999;6;No
9152;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;0;1;No;1699;0,136344909;729;9999;1;No
9153;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;143390;0,11247;No;75344;0,135554523;229;335;11;Yes
9154;No;SMB Small;Unassigned_SE;Lidingö;Stockholm;Dustin Sweden;1,3;0;0;No;8198;0,054442547;609;9999;2;No
9155;No;Corporate;Corporate SE Online;Tidaholm;Västra Götaland;Dustin Sweden;36,5;403690;0,172737;No;279086,54;0,146473599;18;9999;74;No
9156;No;SMB Small;Unassigned_SE;Dorotea;Västerbotten;Dustin Sweden;6,5;143390;0,268843;No;17088;0,184114583;5;9999;9;No
9157;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;70785;0,051646;No;35627;0,133239116;195;739;6;Yes
9158;No;SMB Small;Unassigned_NO;Frogn;Akershus;Dustin Norway;1,3;0;0;No;9520,94;0,160025166;673;9999;1;No
9159;No;SMB Small;Unassigned_SE;Värnamo;Jönköping;Dustin Sweden;1,8;15102;0,38863;No;42328,08;0,098013659;29;29;6;Yes
9160;No;SMB Small;Not Defined;Turku;Varsinais-Suomi;Dustin Finland;6,5;6712,55;0,068642;No;14344,62;0,125689631;103;9999;3;No
9161;No;SMB Small;Unassigned_SE;Not Defined;Not Defined;Dustin Sweden;1;0;2,00E-06;No;8734,02;0,044923185;5;9999;2;No
9162;No;SMB Small;Unassigned_SE;Kristianstad;Skåne;Dustin Sweden;1,8;0;0;No;890;0,039101124;441;9999;1;No
9163;No;SMB Small;Unassigned_SE;Landskrona;Skåne;Dustin Sweden;6,5;54535;0,526919;No;3623,06;0,272454776;272;9999;4;No
9164;No;SMB Small;Unassigned_SE;Mölndal;Västra Götaland;Dustin Sweden;13,4;89512;0,18316;No;135122,29;0,099292722;1;9999;25;No
9165;No;SMB Small;Unassigned_SE;Härryda;Västra Götaland;Dustin Sweden;1,8;0;0,174125;No;13318;0,158901487;685;9999;1;No
9166;No;SMB Small;Unassigned_NO;Trondheim;Sør-Trøndelag;Dustin Norway;6,5;79820;0;No;1207,91;0,249422556;334;9999;1;No
9167;No;Home;Unassigned_SE;Not Defined;Not Defined;Dustin Sweden;1;0;0,086087;No;11188,68;0,056646539;181;9999;2;No
9168;No;Corporate;Valle Haro;Vantaa;Uusimaa;Dustin Finland;30;20574;0,241332;No;310858,89;0,109616231;4;9999;77;No
9169;Yes;SMB Small;Unassigned_SE;Not Defined;Not Defined;Dustin Sweden;-1;0;0;No;6606,6;0,136645173;706;706;3;Yes
9170;No;SMB Small;Unassigned_NO;Oslo;Oslo;Dustin Norway;13,4;164552;0,028641;No;120487,78;0,068247751;154;9999;6;No
9171;No;SMB Small;Unassigned_SE;Växjö;Kronoberg;Dustin Sweden;13,4;118858;0,021222;No;18612,04;0,056297429;258;798;3;Yes
9172;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;13,4;145926;0,040927;No;139736,43;0,071523296;67;9999;26;No
9173;No;SMB Small;Unassigned_SE;Uppsala;Uppsala;Dustin Sweden;1,8;0;0,206691;No;17635;0,163537284;496;9999;1;No
9174;No;SMB Small;Unassigned_DK;Favrskov;Midtjylland;Dustin Denmark;6,5;0;0,427754;No;10696,66;0,160207953;599;9999;1;No
9175;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;0;0;No;13439;0,062523253;519;9999;1;No
9176;No;SMB Small;Unassigned_SE;Sala;Västmanland;Dustin Sweden;1,8;9970,2;0,079724;No;7500,8;0,05325032;161;9999;1;No
9177;Yes;SMB Large;Unassigned_DK;Horsens;Midtjylland;Dustin Denmark;137;0;0,500253;No;7556,91;0,214251592;427;9999;7;No
9178;No;SMB Small;Unassigned_SE;Ljungby;Kronoberg;Dustin Sweden;1,8;0;0;No;2799;0,053004645;547;9999;1;No
9179;No;SMB Mid;Mid - Segmentet;Ockelbo;Gävleborg;Dustin Sweden;30;251700;0,321196;No;47531,68;0,141092215;92;9999;21;No
9180;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;13,4;136412;1;No;1045,95;0,142234332;92;9999;2;No
9181;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;13,4;171654;0,454372;No;11559,57;0,137248185;57;9999;6;No
9182;No;SMB Small;Unassigned_SE;Nacka;Stockholm;Dustin Sweden;1,8;39708;1;No;595;0,263327731;140;9999;1;No
9183;Yes;SMB Small;Unassigned_NO;Oslo;Oslo;Dustin Norway;13,4;298552;0,078123;No;110702,71;0,078400158;12;9999;14;No
9184;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;8222,4;0,136703;No;41227,86;0,113551613;79;9999;6;No
9185;No;SMB Small;Unassigned_SE;Halmstad;Halland;Dustin Sweden;1,8;12024;1;No;4434;0,155554804;83;9999;3;No
9186;Yes;SMB Small;SMB SE Pool;Solna;Stockholm;Dustin Sweden;13,4;145926;0,464014;No;1146627,81;0,129168784;14;564;125;Yes
9187;No;SMB Small;Unassigned_DK;Sønderborg;Syddanmark;Dustin Denmark;1,8;11430;0;No;1365,13;0,03086153;315;9999;1;No
9188;No;SMB Small;Unassigned_SE;Nacka;Stockholm;Dustin Sweden;1,3;28678;0,207805;No;5048;0,127848653;153;9999;2;No
9189;No;SMB Small;Unassigned_SE;Östersund;Jämtland;Dustin Sweden;13,4;118858;0,386197;No;7089,64;0,157899414;263;9999;2;No
9190;No;SMB Mid;Tonii Ahlberg;Malmö;Skåne;Dustin Sweden;68;603160;0,05707;No;113371,01;0,101607633;14;9999;19;No
9191;Yes;Corporate;Kai Dahlman;Tampere;Pirkanmaa;Dustin Finland;307;851244,2;0,394094;No;114108,71;0,137436047;8;9999;24;No
9192;No;SMB Small;Unassigned_SE;Uppsala;Uppsala;Dustin Sweden;6,5;143390;0,456106;No;26781;0,172640678;132;132;5;Yes
9193;No;SMB Small;Unassigned_SE;Jönköping;Jönköping;Dustin Sweden;6,5;0;0;No;8025,2;0,052826098;474;9999;1;No
9194;No;SMB Small;Unassigned_DK;Morsø;Nordjylland;Dustin Denmark;13,4;0;0,140933;No;10073,46;0,115603775;581;9999;1;No
9195;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;1,8;19602;0,191617;No;88761,45;0,387076484;43;9999;22;No
9196;No;SMB Mid;Unassigned_DK;Lejre;Sjælland;Dustin Denmark;68;742560;0,795399;No;24252,54;0,174648099;4;1013;7;Yes
9197;No;Home;Unassigned_SE;Not Defined;Not Defined;Dustin Sweden;1;0;0;No;791,2;0,174595551;224;9999;1;No
9198;No;SMB Large;Niclas Malm;Mandal;Vest-Agder;Dustin Norway;350,4;0;0,11772;No;25659,24;0,201189903;412;9999;5;No
9199;No;SMB Small;Unassigned_SE;Täby;Stockholm;Dustin Sweden;1,3;0;0;No;2639;0,134179613;512;9999;2;No
9200;No;SMB Small;Unassigned_SE;Nybro;Kalmar;Dustin Sweden;6,5;57655;0,622862;No;18301;0,058240533;342;9999;1;No
9201;No;SMB Mid;Mid - Segmentet;Solna;Stockholm;Dustin Sweden;26,8;269608;0,546706;No;102472,22;0,143654641;83;9999;19;No
9202;No;SMB Small;Unassigned_DK;Albertslund;Hovedstaden;Dustin Denmark;1,8;17262;0,04219;No;5445,78;0,098399127;183;9999;2;No
9203;No;SMB Small;Unassigned_DK;Slagelse;Sjælland;Dustin Denmark;-1;16653;1;No;1039,98;0,109502106;250;9999;1;No
9204;No;SMB Mid;Mid - Segmentet;Stockholm;Stockholm;Dustin Sweden;48,8;385520;0,332754;No;65610;0,185710562;62;9999;12;No
9205;Yes;SMB Small;Unassigned_SE;Ulricehamn;Västra Götaland;Dustin Sweden;6,5;76245;0,252732;No;60873,13;0,136912296;60;60;16;Yes
9206;No;SMB Small;Unassigned_SE;Sundsvall;Västernorrland;Dustin Sweden;1,8;0;0;No;899;0,204671858;449;9999;1;No
9207;No;SMB Small;Unassigned_SE;Orsa;Dalarna;Dustin Sweden;1,8;12024;0;No;5242,8;0,10616846;149;149;2;Yes
9208;No;SMB Mid;Mid - Segmentet;Stockholm;Stockholm;Dustin Sweden;30;269700;0;No;2484;0,346618357;337;9999;1;No
9209;No;SMB Large;Fredrik Dahlberg;Mölndal;Västra Götaland;Dustin Sweden;156,9;1708641;0,164582;No;1244952,8;0,119686907;6;263;85;Yes
9210;No;SMB Small;Unassigned_SE;Luleå;Norrbotten;Dustin Sweden;15,2;335312;0,754176;No;10536;0,248803151;257;9999;3;No
9211;No;SMB Small;Unassigned_SE;Härjedalen;Jämtland;Dustin Sweden;6,5;76245;1;No;590;0,257254237;39;9999;1;No
9212;No;SMB Small;Unassigned_SE;Lomma;Skåne;Dustin Sweden;307;2759930;0,222221;No;25573,6;0,169522867;270;9999;3;No
9213;No;SMB Small;Unassigned_SE;Älvsbyn;Norrbotten;Dustin Sweden;1,3;0;0;No;4344;0,063340239;701;9999;2;No
9214;Yes;Public;Hildo Schulz;Falun;Dalarna;Dustin Sweden;5317,6;48685364,6;0,541455;No;1467115,1;0,169910439;5;204;506;Yes
9215;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;-1;0;0,101414;No;123109,04;0,068551586;705;9999;22;No
9216;No;SMB Small;Unassigned_SE;Smedjebacken;Dalarna;Dustin Sweden;1,8;19602;0,473926;No;7594;0,188609428;217;9999;2;No
9217;No;SMB Small;Unassigned_SE;Mora;Dalarna;Dustin Sweden;1,8;39708;0;No;1949;0,060030785;27;27;1;Yes
9218;No;SMB Mid;Unassigned_DK;Allerød;Hovedstaden;Dustin Denmark;30;327600;0,215795;No;360480,43;0,097294352;13;9999;26;No
9219;No;Public;Unassigned_DK;København;Hovedstaden;Dustin Denmark;1686,9;18420948;0,831798;No;3649,5;0,278153172;70;9999;10;No
9220;No;Corporate;Unassigned_DK;København;Hovedstaden;Dustin Denmark;137;1394660;0;No;17162,18;0,108469903;329;9999;1;No
9221;No;SMB Large;Jakob Bade;Køge;Sjælland;Dustin Denmark;98;1326920;0,167767;No;443189,81;0,155000066;43;9999;72;No
9222;No;SMB Small;Unassigned_SE;Östersund;Jämtland;Dustin Sweden;1,8;0;0;No;9675;0,161302326;442;9999;1;No
9223;No;SMB Small;Unassigned_SE;Ljusdal;Gävleborg;Dustin Sweden;6,5;0;0,064573;No;63602,18;0,101085057;400;9999;6;No
9224;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;13,4;112426;0,322466;No;3098;0,145280826;263;9999;1;No
9225;No;SMB Small;Unassigned_NO;Narvik;Nordland;Dustin Norway;1,3;0;0,33669;No;6167,53;0,111388189;551;9999;2;No
9226;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;28678;0,027058;No;11789,16;0,070129678;211;211;1;Yes
9227;No;SMB Small;Unassigned_SE;Falun;Dalarna;Dustin Sweden;1,8;39708;0,337383;No;71112;0,121664979;155;9999;12;No
9228;No;SMB Small;Unassigned_NO;Austevoll;Hordaland;Dustin Norway;6,5;48295;0,039816;No;5458,32;0,100034443;57;9999;1;No
9229;No;SMB Small;Unassigned_NO;Asker;Akershus;Dustin Norway;1,3;0;0,318441;No;3687,59;0,141835182;666;9999;1;No
9230;No;SMB Small;Unassigned_NO;Trondheim;Sør-Trøndelag;Dustin Norway;1,8;22104;0,200357;No;6758,22;0,108861505;196;9999;2;No
9231;No;SMB Small;Unassigned_DK;Norddjurs;Midtjylland;Dustin Denmark;1,8;21852;0;No;1176,24;0,281728219;112;9999;1;No
