OrganisationNo;LineDiscount;CustomerUnit;AccountManager;Municipality;County;Country;NoOfEmployees;Potential;AccessoryRatio;TargetAccessory;NSB;CPLow;Days;TargetDays;NrOfOrder;Software
4715;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;-1;0;0,016319;No;19547;0,053442472;95;95;4;Yes
4716;No;SMB Small;Unassigned_SE;Partille;Västra Götaland;Dustin Sweden;1,8;0;0,033809;No;5738;0,219731614;447;9999;1;No
4717;No;Corporate;Jonne Muttonen;Vantaa;Uusimaa;Dustin Finland;1,8;4928,4;0,262508;No;9306,13;0,112291576;19;9999;6;No
4718;No;SMB Large;Unassigned_DK;København;Hovedstaden;Dustin Denmark;13,4;341298;0,72192;No;24937,19;0,150133596;252;9999;6;No
4719;No;SMB Small;Unassigned_SE;Burlöv;Skåne;Dustin Sweden;6,5;76245;0,110288;No;53282,46;0,091212756;46;9999;18;No
4720;No;SMB Small;Unassigned_SE;Helsingborg;Skåne;Dustin Sweden;1,8;39708;0,287444;No;88183,93;0,124822743;8;9999;23;No
4721;No;SMB Small;Unassigned_NO;Ski;Akershus;Dustin Norway;1,8;20574;0;No;428,18;0,32208417;211;9999;1;No
4722;No;SMB Small;Not Defined;Helsinki;Uusimaa;Dustin Finland;1,8;2497,5;1;No;3077,48;0,072032962;239;9999;1;No
4723;No;SMB Small;Unassigned_SE;Jönköping;Jönköping;Dustin Sweden;6,5;0;0,130391;No;7048;0,111972191;544;9999;2;No
4724;No;SMB Large;NON Portfolio DK SMB;Svendborg;Syddanmark;Dustin Denmark;463,9;6281206;0,814401;No;6462,51;0,153146378;7;9999;2;No
4725;No;SMB Small;Unassigned_SE;Mjölby;Östergötland;Dustin Sweden;1,3;14157;0;No;4289;0,02939613;151;9999;1;No
4726;No;SMB Small;Unassigned_SE;Bengtsfors;Västra Götaland;Dustin Sweden;1,8;14220;0;No;21033;0,059941996;347;347;3;Yes
4727;No;SMB Small;Unassigned_SE;Linköping;Östergötland;Dustin Sweden;1,8;39708;0,009349;No;59683,74;0,075143582;32;9999;6;No
4728;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;10,8;95796;0,121734;No;77291;0,119840991;152;9999;16;No
4729;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;13,4;120466;0;No;1047;0,182636103;83;9999;3;No
4730;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;19602;0,405584;No;1959,91;0,154777515;221;9999;2;No
4731;No;SMB Small;Unassigned_SE;Ronneby;Blekinge;Dustin Sweden;1,8;0;0,3154;No;948;0,21306962;643;9999;1;No
4732;No;SMB Small;Unassigned_SE;Not Defined;Not Defined;Dustin Sweden;1;0;0;No;1719;0,146015125;19;9999;1;No
4733;No;SMB Small;Unassigned_SE;Linköping;Östergötland;Dustin Sweden;6,5;57655;0,127806;No;12425;0,096102213;99;9999;2;No
4734;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;39708;0,179315;No;47893,32;0,102319488;61;9999;7;No
4735;No;SMB Small;Unassigned_DK;Gentofte;Hovedstaden;Dustin Denmark;30;384300;1;No;14377,38;0,234341027;159;9999;6;No
4736;No;SMB Small;Unassigned_DK;Herlev;Hovedstaden;Dustin Denmark;1,8;45594;0,280393;No;6880,93;0,114574629;15;9999;3;No
4737;No;SMB Small;Unassigned_SE;Bollnäs;Gävleborg;Dustin Sweden;1,3;8684;0;No;517,4;0,325202938;294;9999;1;No
4738;No;SMB Small;Unassigned_SE;Västervik;Kalmar;Dustin Sweden;1,3;0;0,091663;No;10495,01;0,093321493;476;750;2;Yes
4739;Yes;Corporate;Victor Andersson;Helsingborg;Skåne;Dustin Sweden;137;0;0,566658;No;8241,45;0,169820845;377;9999;4;No
4740;No;SMB Small;Not Defined;Mikkeli;Etelä-Savo;Dustin Finland;1,8;2644,38;1;No;901,53;0,259547658;148;9999;1;No
4741;No;SMB Small;Unassigned_SE;Växjö;Kronoberg;Dustin Sweden;6,5;0;0,110168;No;37016;0,085041063;515;515;3;Yes
